bioguide,facebook,facebook_id,govtrack,instagram,instagram_id,thomas,twitter,twitter_id,youtube,youtube_id
D000604,CongressmanDent,69862092533,400648.0,,,01799,,,CongressmanDent,UCoC_r0R2M_74UVrH4A44awQ
D000600,mdiazbalart,119538428117878,400108.0,repmariodb,316477657.0,01717,MarioDB,37094727.0,MarioDiazBalart,UCpEEd0Plxx5D78pI4a4mFTQ
D000563,SenatorDurbin,180436795325335,300038.0,,,00326,SenatorDurbin,247334603.0,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw
D000533,CongressmanDuncan,102385999834718,400116.0,,,00322,RepJohnDuncanJr,1883356866.0,RepJohnDuncan,UCCpcKqQfp9gVkeD1t7uYLKQ
D000482,usrepmikedoyle,79663724861,400114.0,,,00316,USRepMikeDoyle,39249305.0,CongressmanDoyle,UCni9vINmgerEeVXhKCC9qbA
D000399,lloyddoggett,154050553704,400111.0,,,00303,RepLloydDoggett,153944899.0,doggett,UCN-kiLKyHPcfRVZ28sAHS_g
D000216,CongresswomanRosaDeLauro,181302611907634,400103.0,,,00281,RosaDeLauro,140519774.0,rosadelauro,UC9ROfGBm7kSLCEDYwFF6McQ
D000197,DianaDeGette,110757973488,400101.0,,,01479,RepDianaDeGette,28599820.0,RepDianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew
D000191,RepPeterDeFazio,94324364811,400100.0,,,00279,RepPeterDeFazio,252249233.0,PeterDeFazio,UCIF3HunhsVgTv7L2grnq2Rg
C001088,senatorchriscoons,254950754518205,412390.0,senatorchriscoons,25194715.0,01984,SenCoonsOffice,435500714.0,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA
C001087,RepRickCrawford,143344975723788,412400.0,reprickcrawford,389864684.0,01989,RepRickCrawford,233693291.0,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg
C001084,CongressmanDavidCicilline,186949061341027,412470.0,,,02055,RepCicilline,462143773.0,RepDavidCicilline,UC3sCl46o8hYP69LnidNltuw
C001080,RepJudyChu,41228315130,412379.0,,,01970,RepJudyChu,193732179.0,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w
C001078,CongressmanGerryConnolly,177164035838,412272.0,,,01959,GerryConnolly,78445977.0,repconnolly,UC4WG9PlmoOeSLIuyVjs-RSA
C001077,repmikecoffman,366142384492,412271.0,,,01912,RepMikeCoffman,19407835.0,CongressmanCoffman,UCBCe9Os3VRutyBw3aLhYq5g
C001076,CongressmanJasonChaffetz,390419731073316,412270.0,jasoninthehouse,217804604.0,01956,JasonInTheHouse,17800215.0,JasonChaffetz,UCPRdJWDBUYfZaMYaPQfoNnQ
C001072,CongressmanAndreCarson,123884330964019,412258.0,,,01889,RepAndreCarson,199325935.0,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw
C001071,bobcorker,109251415789533,412248.0,senbobcorker,390025816.0,01825,SenBobCorker,73303753.0,senatorcorker,UCm7if_szz7DxfcdYGrywHSA
C001070,SenatorBobCasey,107749545944874,412246.0,,,01828,SenBobCasey,171598736.0,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A
C001069,joecourtney,330408799230,412193.0,,,01836,RepJoeCourtney,85396297.0,repcourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w
C001068,CongressmanSteveCohen,111456965545421,412236.0,,,01878,RepCohen,162069635.0,repcohen,UC_NJlnsOBjOameUwZk0rvsA
C001067,repyvettedclarke,135031389892682,412221.0,,,01864,YvetteClarke,240812994.0,repyvetteclarke,UC8SuQiuL2P9fUHAxuRoTdUQ
C001063,152569121550,152569121550,400657.0,,,01807,RepCuellar,210926192.0,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ
C001062,mike.conaway,203482063021985,400655.0,,,01805,ConawayTX11,295685416.0,mikeconaway11,UCR3dhwhVfxmmqv6ct2Xa1-g
C001061,emanuelcleaverii,7954512692,400639.0,,,01790,RepCleaver,163570705.0,repcleaver,UCVC-7CLFjXczoihr5FxDLsw
C001059,RepJimCosta,,400618.0,,,01774,RepJimCosta,245451804.0,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA
C001056,sen.johncornyn,75755694423,300027.0,,,01692,JohnCornyn,13218102.0,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ
C001053,TomColeOK04,146497782066300,400077.0,TomColeOK04,,01742,TomColeOK04,23124635.0,reptomcole,UCvqzPm_YnNkfEHpm3SEMJMQ
C001051,judgecarter,1287257083,400068.0,repcarter,456560563.0,01752,JudgeCarter,18030431.0,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w
C001049,109135405838588,109135405838588,400074.0,,,01654,,,WilliamLacyClay,UCB3yVQzlxhx3brOwaWtiXoQ
C001048,CongressmanCulberson,1751723339,400089.0,,,01670,CongCulberson,24183358.0,johnculbersontx07,UCv9NX2RA2jQQniHohgqy_KQ
C001047,senshelley,8057864757,400061.0,sencapito,1640447624.0,01676,SenCapito,193794406.0,UCbiXdR4XQ3vD9Xp5lfR9QXw,UCbiXdR4XQ3vD9Xp5lfR9QXw
C001038,repjoecrowley,176197712425090,400087.0,,,01604,RepJoeCrowley,111635980.0,RepJoeCrowley,UCni23wivejzkS9G1L_XEBQw
C001037,RepMichaelCapuano,151168844937573,400063.0,,,01564,RepMikeCapuano,,RepMikeCapuano,UCvzAdbimlJksgZjEMQn0kuw
C001035,susancollins,7593313361,300025.0,,,01541,SenatorCollins,19726613.0,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w
C000984,elijahcummings,291368465380,400090.0,,,00256,RepCummings,787373558.0,ElijahECummings,UCMasH4jR80RdkqyuF0neFZg
C000880,mikecrapo,80335332266,300030.0,mikecrapo,329357214.0,00250,MikeCrapo,600463589.0,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA
C000754,JimCooper,,400081.0,repjimcooper,1037212884.0,00231,RepJimCooper,22523087.0,RepJimCooper,UCjplyIIQbNZcl013AyDfPNg
C000714,CongressmanConyers,206947066849,400080.0,,,00229,RepJohnConyers,138770045.0,JCMI14,UCzlwBp7_m0t3f2UiFubvWgg
C000537,jameseclyburn,127744320598870,400075.0,,,00208,Clyburn,188019606.0,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg
